"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
137,3.09,1.12817109090965,0,0,1,0,0,0,0,1,12,0.31,-1.17118298150295,1,1,2,1,0,0,0,0,0.3875,0.82,4.88937492805341,2.39700714204739,-3,0,1,0,0,0
143,1.39,0.3293037471426,0,0,0,1,0,1,0,1,14,5.21,1.65057985576528,0,1,2,0,1,1,0,0,0.45,0.28,5,4,4,0,3,0,0,0
144,6.09,1.80664808172181,0,0,0,2,1,1,0,1,16,3.71,1.31103187661934,0,1,2,1,1,1,1,0,0.5625,0.78,0,3,-1,1,3,1,1,6
145,19.37,2.9637254774189,0,0,0,4,1,1,0,1,16,3.71,1.31103187661934,0,1,1,1,0,0,0,1,0.4375,0.21,3,0,5,1,5,1,1,6
146,10.67,2.36743606531366,0,0,0,4,1,1,0,1,12,4.36,1.47247205736094,0,1,2,1,1,2,1,1,0.5625,0.13,2,1,6,0,6,0,0,7
147,0.59,-0.527632742082372,1,0,1,4,1,0,0,0,13,4.055,1.39995068756738,0,1,2,0,1,1,1,1,0.625,0.05,6,0,10,0,6,0,1,7
150,2.26,0.815364813284194,0,0,0,4,1,1,0,1,11,4.47,1.49738840862548,0,1,2,1,1,1,1,0,0.5,0.09,1,0,10,1,3,0,1,10
152,4.15,1.42310833424261,0,0,0,2,1,1,0,1,14,5.44,1.69377906086785,0,1,2,0,1,2,0,0,0.6125,0.18,6,2,7,1,4,1,1,6
156,3.09,1.12817109090965,0,1,0,2,1,0,0,1,18,16.89,2.82672173081971,0,1,2,0,1,1,1,0,0.5125,0.26,5,0,6,0,4,0,0,7
157,5.58,1.71918877639322,0,1,1,2,1,0,1,0,12,4.69,1.54543258245819,0,1,2,0,1,2,0,0,0.5625,0.46,3,0,9,0,5,0,0,7
